Nomor,D1,D2,D3,R1,R2,R3,K1,K2,K3,Category
209,0.974404944,0.988522311,0.992047887,10.48828125,10.46223958,10.43945313,9.47265625,9.5703125,9.9609375,3
210,0.988522311,0.992047887,1.003708551,10.46223958,10.43945313,10.40364583,9.5703125,9.9609375,9.5703125,3
211,0.992047887,1.003708551,1.016066343,10.43945313,10.40364583,10.32877604,9.9609375,9.5703125,9.08203125,3
212,1.003708551,1.016066343,0.976697189,10.40364583,10.32877604,10.2734375,9.5703125,9.08203125,10.15625,3
213,1.016066343,0.976697189,0.910840757,10.32877604,10.2734375,10.17578125,9.08203125,10.15625,9.375,3
214,0.976697189,0.910840757,0.887037835,10.2734375,10.17578125,10.12369792,10.15625,9.375,9.765625,3
215,0.910840757,0.887037835,0.873614638,10.17578125,10.12369792,10.078125,9.375,9.765625,9.66796875,3
216,0.887037835,0.873614638,0.859956455,10.12369792,10.078125,10.0390625,9.765625,9.66796875,9.765625,3
217,0.873614638,0.859956455,0.749336973,10.078125,10.0390625,9.947916667,9.66796875,9.765625,9.5703125,3
218,0.859956455,0.749336973,0.72089301,10.0390625,9.947916667,9.931640625,9.765625,9.5703125,10.9375,3
219,0.749336973,0.72089301,0.748290295,9.947916667,9.931640625,9.951171875,9.5703125,10.9375,11.23046875,3
220,0.72089301,0.748290295,0.765946559,9.931640625,9.951171875,9.9609375,10.9375,11.23046875,11.42578125,3
221,0.748290295,0.765946559,0.76055364,9.951171875,9.9609375,9.957682292,11.23046875,11.42578125,11.1328125,3
222,0.765946559,0.76055364,0.791260178,9.9609375,9.957682292,10.03255208,11.42578125,11.1328125,11.42578125,3
223,0.76055364,0.791260178,0.815499756,9.957682292,10.03255208,10.08789063,11.1328125,11.42578125,11.23046875,3
224,0.791260178,0.815499756,0.815170366,10.03255208,10.08789063,10.16927083,11.42578125,11.23046875,10.05859375,3
225,0.815499756,0.815170366,0.873740105,10.08789063,10.16927083,10.21158854,11.23046875,10.05859375,11.9140625,3
226,0.815170366,0.873740105,0.903330172,10.16927083,10.21158854,10.22460938,10.05859375,11.9140625,11.42578125,3
227,0.873740105,0.903330172,0.912554103,10.21158854,10.22460938,10.20833333,11.9140625,11.42578125,11.03515625,3
228,0.903330172,0.912554103,0.889037533,10.22460938,10.20833333,10.24414063,11.42578125,11.03515625,11.23046875,3
229,0.912554103,0.889037533,0.904300439,10.20833333,10.24414063,10.26041667,11.03515625,11.23046875,11.1328125,3
230,0.889037533,0.904300439,0.926779771,10.24414063,10.26041667,10.30598958,11.23046875,11.1328125,11.71875,3
231,0.904300439,0.926779771,0.905166735,10.26041667,10.30598958,10.3125,11.1328125,11.71875,10.546875,3
232,0.926779771,0.905166735,0.898920527,10.30598958,10.3125,10.29947917,11.71875,10.546875,9.5703125,3
233,0.905166735,0.898920527,0.914204287,10.3125,10.29947917,10.33203125,10.546875,9.5703125,9.08203125,3
234,0.898920527,0.914204287,0.89738272,10.29947917,10.33203125,10.35481771,9.5703125,9.08203125,10.3515625,3
235,0.914204287,0.89738272,0.883378578,10.33203125,10.35481771,10.41666667,9.08203125,10.3515625,10.15625,3
236,0.89738272,0.883378578,0.855714022,10.35481771,10.41666667,10.46549479,10.3515625,10.15625,10.9375,3
237,0.883378578,0.855714022,0.841667766,10.41666667,10.46549479,10.51757813,10.15625,10.9375,10.9375,3
238,0.855714022,0.841667766,0.832659131,10.46549479,10.51757813,10.54036458,10.9375,10.9375,11.1328125,3
239,0.841667766,0.832659131,0.826229643,10.51757813,10.54036458,10.58919271,10.9375,11.1328125,10.64453125,3
240,0.832659131,0.826229643,0,10.54036458,10.58919271,0,11.1328125,10.64453125,0,3
241,1.991763221,0.930604091,0.937738498,9.716796875,9.388020833,9.375,8.69140625,9.1796875,8.69140625,3
242,0.930604091,0.937738498,0.933056822,9.388020833,9.375,9.430338542,9.1796875,8.69140625,10.15625,3
